,adr_pct,gap_pct,volvol,dollar_vol_m,price,n_trades,sum_ret,avg_ret,win
MCD,1.9257393113138603,0.5658807581125226,0.2688461760856459,1257.1313666632009,271.7850036621094,3,-0.5847805456019975,-0.1949268485339992,False
APH,3.8735218778179967,1.6998756426993544,0.3694527358712495,1321.4219539534351,170.77499389648438,1,0.1656769581112117,0.1656769581112117,True
MS,2.653495004970651,0.8296621271359026,0.33127482254415025,1257.675668829451,215.3000030517578,2,-0.3448902861627081,-0.17244514308135406,False
MRK,2.502643664505115,0.6547590697469016,0.3884533968842569,1245.22118639491,130.21499633789062,3,-1.1632333627048195,-0.3877444542349398,False
COIN,5.5558519417472665,1.9143108104512068,0.3614260489129272,1329.1573365883748,149.0,1,1.210612417039954,1.210612417039954,True
DDOG,5.244381002214523,1.7141563545105047,0.4515079454044245,1298.940444838559,252.4550018310547,3,1.6357131119543924,0.5452377039847974,True
NXPI,4.253234237391691,1.9407508041037438,0.37109235008968205,1196.9256388371216,239.1300048828125,2,0.16183982406675013,0.08091991203337506,True
SHOP,4.705749108753861,1.640806205349588,0.5517066550202984,1170.972675843824,153.2899932861328,7,0.8191558868132015,0.11702226954474307,True
ON,5.500568412277077,2.7974995379754093,0.49752454696286125,1230.0491524516576,81.9800033569336,2,-0.5573918149119473,-0.27869590745597367,False
CIEN,6.52223386220325,2.5056234794122494,0.587501371612625,1267.8706980859924,386.8399963378906,1,-0.5119391668601116,-0.5119391668601116,False
LIN,1.9591958408848555,0.6144413642263,0.350941298667473,1173.68626507621,492.7950134277344,1,-0.4406413771522848,-0.4406413771522848,False
TMO,2.677660662950753,0.8309877205817632,0.39328761050010214,1157.366498162319,598.9949951171875,1,0.5171960998214301,0.5171960998214301,True
PFE,1.9070649568144402,0.43256181757138507,0.38754704124949063,1041.9993338391369,26.73509979248047,4,-0.42631373932930083,-0.10657843483232521,False
MCHP,4.579034761684538,2.1867760769204954,0.3584123595603071,1035.7517658884456,82.56500244140625,2,-0.48904321708696497,-0.24452160854348248,False
IONQ,7.884421945801176,1.9311691458817777,0.4247073412890985,1287.7064613441578,43.040000915527344,3,0.7064517735424439,0.23548392451414799,True
AZO,2.95783224275974,0.7152589867818248,0.7298339150990774,1069.3318307489014,3081.06494140625,1,0.2149767327477557,0.2149767327477557,True
