score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,pullback_hold_ema,market_filter,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min,sizing_mode,risk_per_trade_pct,pos_leverage_cap,max_concurrent
-3.6360889548277804,0.038369081841005404,0.17739803559511103,53,39.62264150943396,1.0786073083009355,0.032846168996213794,-7.348916073337572,-0.7317457949046928,5.188679245283019,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,True,False,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.6360889548277804,0.038369081841005404,0.17739803559511103,53,39.62264150943396,1.0786073083009355,0.032846168996213794,-7.348916073337572,-0.7317457949046928,5.188679245283019,15m,True,surge,4,1.5,1.0,2.0,1.3,lower_high,1,3,True,False,True,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.6765075325097554,0.1492327916681635,0.6826868275044529,57,47.36842105263158,1.0028087135226227,0.0012492306936968006,-7.651480648355838,0.11654860981640744,2.0526315789473686,30m,True,either,4,1.0,1.0,2.0,1.0,red_or_lh,1,2,False,True,True,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.7642936973443786,0.060069352289149336,0.27435981736811943,51,49.01960784313726,1.042099844103267,0.018074222772170533,-7.648726099267056,0.08056857606111471,2.0784313725490198,30m,True,either,4,1.5,1.0,2.0,1.0,red_or_lh,1,3,False,True,True,50.0,80.0,True,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.7879617575944353,2.476766729661084,11.96753175234151,55,38.18181818181818,1.1978362189750338,0.08207199612603233,-12.529456974511039,0.04780083908093032,5.509090909090909,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.8152708770899855,3.1915040157692864,15.621464974165434,47,40.42553191489362,1.265365987666553,0.10526151250661218,-11.013549785718544,0.6197818994180737,5.212765957446808,15m,True,surge,4,1.0,1.0,2.0,1.3,lower_high,1,3,True,True,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.9123409718138884,2.81979658899143,13.70972202266394,59,38.983050847457626,1.2091089037131382,0.08601134610481033,-13.464275121610637,0.4909343637822557,5.5423728813559325,15m,True,either,4,1.0,1.0,2.0,1.3,lower_high,1,2,False,True,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-3.9414812245685837,3.251240806798017,15.931033830770192,69,40.57971014492754,1.1081049351109291,0.045557570918981376,-14.385444062733201,0.5365559221413835,5.36231884057971,15m,True,either,4,1.0,1.0,2.0,1.3,lower_high,1,3,False,True,True,50.0,80.0,True,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.019185281953783,1.9879463649785434,9.521110045214943,58,37.93103448275862,1.170773549639173,0.07197536214540486,-12.014263293864653,0.24386902808180458,5.4655172413793105,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,2,False,True,True,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
-4.0356772297633,2.4397565434260304,11.78082079100009,68,39.705882352941174,1.0971504969357615,0.041016410377777666,-12.95086754637866,0.35486855053251676,5.323529411764706,15m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,True,True,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955,risk,1.0,2.0,4
