symbol,entry_time,exit_time,entry,exit,ret_pct,bars_held,reason,risk_pct,taken
ADBE,2026-07-28 10:23:00-04:00,2026-07-28 10:53:00-04:00,249.9,249.1245,-0.3703213949405895,30,stop,0.3103213949405896,True
NOW,2026-07-28 10:24:00-04:00,2026-07-28 10:59:00-04:00,109.83,109.3982,-0.4531518700317462,35,stop,0.39315187003174623,True
CRM,2026-07-28 10:44:00-04:00,2026-07-28 10:51:00-04:00,182.42,181.89,-0.350543665708231,7,stop,0.29054366570823104,True
LLY,2026-07-28 10:56:00-04:00,2026-07-28 11:03:00-04:00,1230.8079,1229.0245,-0.2048890386747688,7,stop,0.14488903867476882,True
SPGI,2026-07-28 11:11:00-04:00,2026-07-28 11:27:00-04:00,426.77,430.8201,0.8890009084179594,16,target,0.3163336361393198,True
SHOP,2026-07-28 11:14:00-04:00,2026-07-28 11:48:00-04:00,131.8399,131.4399,-0.36339783689085237,34,stop,0.27297467607498777,True
CRM,2026-07-28 11:22:00-04:00,2026-07-28 11:42:00-04:00,184.0699,183.305,-0.4755505813257481,20,stop,0.4155505813257482,True
CDNS,2026-07-28 11:26:00-04:00,2026-07-28 11:52:00-04:00,351.55,349.6001,-0.6146582493675844,26,stop,0.5546582493675843,True
BA,2026-07-28 11:37:00-04:00,2026-07-28 11:41:00-04:00,220.53,219.87,-0.3592787270946595,4,stop,0.2992787270946595,True
ABBV,2026-07-28 12:08:00-04:00,2026-07-28 12:18:00-04:00,265.08,264.895,-0.1297934735966614,10,stop,0.06979347359666144,True
BA,2026-07-28 12:10:00-04:00,2026-07-28 12:13:00-04:00,221.98,221.6001,-0.23113627938363102,3,stop,0.171136279383631,True
SHOP,2026-07-28 12:18:00-04:00,2026-07-28 12:46:00-04:00,132.34,133.225,0.6087527985303223,28,target,0.22291759951010742,True
BLK,2026-07-28 12:28:00-04:00,2026-07-28 12:35:00-04:00,1097.41,1096.345,-0.15705068494167784,7,stop,0.09705068494167786,True
NOW,2026-07-28 12:41:00-04:00,2026-07-28 12:52:00-04:00,111.07,111.67,0.4802007101070211,11,target,0.18006690336900702,True
NOW,2026-07-28 13:41:00-04:00,2026-07-28 14:03:00-04:00,112.01,111.6702,-0.3633669588129778,22,stop,0.3033669588129778,True
BRK-B,2026-07-28 13:48:00-04:00,2026-07-28 14:07:00-04:00,510.08,511.025,0.12527295122986087,19,target,0.06175765040995362,True
ABBV,2026-07-28 14:04:00-04:00,2026-07-28 14:11:00-04:00,266.0762,265.72,-0.1938645284677383,7,stop,0.13386452846773828,True
ANET,2026-07-28 14:11:00-04:00,2026-07-28 15:55:00-04:00,168.49,169.01,0.248622940520315,104,eod,0.54602286177991,True
BRK-B,2026-07-28 14:14:00-04:00,2026-07-28 14:15:00-04:00,511.55,511.26,-0.11669426769729271,1,stop,0.05669426769729272,True
MCK,2026-07-28 14:30:00-04:00,2026-07-28 14:36:00-04:00,888.32,887.58,-0.14330001634080888,6,stop,0.0833000163408089,True
CDNS,2026-07-28 15:04:00-04:00,2026-07-28 15:04:00-04:00,346.42,346.08,-0.1581516877386389,0,stop,0.09815168773863893,True
AVGO,2026-07-28 15:25:00-04:00,2026-07-28 15:26:00-04:00,384.8646,384.4,-0.1807205283341207,1,stop,0.12072052833412068,True
AVGO,2026-07-28 15:28:00-04:00,2026-07-28 15:35:00-04:00,384.41,383.93,-0.18486699516931138,7,stop,0.1248669951693114,True
MPWR,2026-07-29 09:38:00-04:00,2026-07-29 09:38:00-04:00,1309.605,1304.22,-0.47119195137781034,0,stop,0.4111919513778104,True
FLEX,2026-07-29 10:14:00-04:00,2026-07-29 10:14:00-04:00,107.34,106.96,-0.4140158411303792,0,stop,0.3540158411303792,True
HLT,2026-07-29 10:40:00-04:00,2026-07-29 10:41:00-04:00,321.69,321.16,-0.22474844108097639,1,stop,0.16474844108097642,True
RCL,2026-07-29 11:33:00-04:00,2026-07-29 11:40:00-04:00,324.36,323.87,-0.2110670894939892,7,stop,0.15106708949398923,True
DDOG,2026-07-29 14:02:00-04:00,2026-07-29 14:47:00-04:00,268.55,273.23,1.6826786786950487,45,target,0.5808928928983496,True
MPWR,2026-07-29 14:02:00-04:00,2026-07-29 14:28:00-04:00,1294.79,1275.3682,-1.5600000000000085,26,stop,1.5000000000000087,True
SNOW,2026-07-29 14:03:00-04:00,2026-07-29 14:04:00-04:00,290.83,289.9001,-0.3797442100045444,1,stop,0.3197442100045444,True
INTU,2026-07-29 14:04:00-04:00,2026-07-29 14:04:00-04:00,333.885,333.52,-0.16931944253353903,0,stop,0.10931944253353904,True
INTU,2026-07-29 14:33:00-04:00,2026-07-29 14:33:00-04:00,336.005,335.51,-0.20732105495722317,0,stop,0.14732105495722317,True
NOW,2026-07-29 14:33:00-04:00,2026-07-29 14:44:00-04:00,116.94,117.96,0.8122413902948669,11,target,0.290747130098289,True
CRM,2026-07-29 14:33:00-04:00,2026-07-29 15:00:00-04:00,189.3,188.93,-0.25545726592005863,27,stop,0.19545726592005866,True
BKNG,2026-07-29 14:33:00-04:00,2026-07-29 15:01:00-04:00,203.95,203.65,-0.20709427590374502,28,stop,0.14709427590374502,True
ACN,2026-07-29 14:41:00-04:00,2026-07-29 14:42:00-04:00,175.3868,175.005,-0.27768779924463655,1,stop,0.21768779924463658,True
