score,total_return_pct,ann_return_pct,n_trades,win_rate,profit_factor,expectancy_pct,max_dd_pct,sharpe,avg_bars_held,timeframe,require_above_vwap,momentum_mode,momentum_lookback,momentum_min_gain_atr,hod_dist_atr,hod_day_gain_atr,relvol_min,pullback_def,min_pullback_bars,max_pullback_bars,rsi_filter,rsi_min,rsi_max,macd_filter,macd_rising,stop_mode,stop_atr_mult,stop_pct,stop_cap_pct,target_mode,target_rr,target_pct,trail_mode,trail_atr_mult,trail_pct,trail_activate_rr,entry_start_min,entry_end_min,eod_exit_min
-54.17039819746026,-2.780265464973508,-11.795186963398063,14,21.428571428571427,0.1459642676232183,-0.8038701327068329,-2.780265464973505,-11.77283814772851,1.7142857142857142,30m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-54.17039819746026,-2.780265464973508,-11.795186963398063,14,21.428571428571427,0.1459642676232183,-0.8038701327068329,-2.780265464973505,-11.77283814772851,1.7142857142857142,30m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-54.40909794818236,-2.428629220136169,-10.48724624721732,60,36.666666666666664,0.6821295557740374,-0.16258416509220874,-3.96093745609237,-2.8966727336702416,7.333333333333333,15m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-54.57412193502656,-2.867873272392607,-12.28880392301106,64,46.875,0.5533554211554255,-0.18111461369024087,-3.4124973252679056,-4.488741936982014,4.109375,15m,True,surge,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-54.60207028142608,-2.9679991156601915,-12.271136539450012,67,49.25373134328358,0.558172987992931,-0.1791484428623335,-3.2681423315317795,-5.332053676940065,4.029850746268656,15m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-54.60357983489728,-2.363381502968298,-9.87094074807693,78,41.02564102564103,0.7543192981302647,-0.1213448600969467,-4.480396663857963,-2.3643648015307104,6.794871794871795,15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
-54.68669485100268,-3.124463234001784,-13.176751656917062,14,28.571428571428573,0.16705668352726283,-0.904439030919114,-3.124463234001785,-10.643442956069718,2.0714285714285716,30m,True,hod,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-54.68669485100268,-3.124463234001784,-13.176751656917062,14,28.571428571428573,0.16705668352726283,-0.904439030919114,-3.124463234001785,-10.643442956069718,2.0714285714285716,30m,True,either,4,1.5,1.0,2.0,1.3,lower_high,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-55.350007889473396,-3.3391045125623964,-13.719773590343,84,53.57142857142857,0.5988628671943413,-0.16096794065746092,-4.021806753821999,-4.798381824186385,4.071428571428571,15m,True,either,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,atr,1.0,0.5,1.5,rr,2.0,1.0,pct,1.5,0.4,1.0,575,930,955
-55.805792859436735,-3.8204337318005988,-39.81719853103891,418,34.44976076555024,0.8290432103355354,-0.03693897790803651,-3.9707182552722804,-4.777902593167349,11.14354066985646,1m,True,hod,4,1.5,1.0,2.0,1.3,red_or_lh,1,3,False,50.0,80.0,False,False,pullback_low,1.0,0.5,1.5,rr,2.0,1.0,none,1.5,0.4,1.0,575,930,955
