symbol,entry_date,year,r,pnl,win,reason,hold,n_contractions,final_depth,first_depth,tighten_ratio,vdu_ratio,base_len_days,pivot_vs_top,wait_days,regime_on
AX,2014-01-27,2014,-0.5997021613336846,-13375.169448422175,False,trail_ma,6,3,0.06675,0.19386,0.3443206437635407,0.7443,60,0.12900965349788351,9,True
AX,2018-06-06,2018,-0.6744036684996876,-21930.44543948927,False,trail_ma,15,4,0.03396,0.10483,0.3239530668701707,0.8301,24,-0.038620696670707666,3,True
AXON,2023-03-31,2023,-1.022817810885181,-51919.82866590846,False,stop,19,4,0.04691,0.17898,0.2620963236115767,0.6181,37,0.08146737158265549,3,True
AXP,2010-08-04,2010,-1.0431014644409706,-5379.096016804222,False,trail_ma,8,4,0.08935,0.22215,0.40220571685797885,0.7596,57,-0.07078020281038788,9,True
AXSM,2025-10-20,2025,5.975929899077251,203099.10442871533,True,target,62,4,0.05806,0.13333,0.435460886522163,0.7844,67,0.0860426741471958,5,True
AXTI,2010-12-28,2010,0.7583205384150012,5820.066906970118,True,trail_ma,34,3,0.08251,0.16574,0.4978279232532883,0.9824,29,0.011123513238675997,6,True
AYI,2015-04-01,2015,2.676904637228163,34654.462202273215,True,trail_ma,101,5,0.04314,0.09781,0.44105919640118596,0.9193,62,0.15922346324025916,17,True
AYI,2024-01-09,2024,2.272927370795266,26025.759133288608,True,trail_ma,67,4,0.04083,0.14847,0.2750050515255607,0.9597,52,0.12907284638988492,8,True
AZN,2005-10-06,2005,-1.3378353683253077,-3062.0578363707195,False,trail_ma,8,3,0.02499,0.05594,0.4467286378262424,0.9595,34,0.0014719257756894422,2,True
AZO,2007-02-28,2007,-1.0586254198292846,-1358.6065038922234,False,stop,1,6,0.01692,0.05403,0.31315935591338145,0.8637,62,0.09392460165449168,24,True
AZO,2011-04-27,2011,-0.531220210845838,-6067.796908727452,False,trail_ma,18,3,0.03135,0.06846,0.4579316389132341,0.8915,31,0.04504026161863606,17,True
AZTA,2007-05-10,2007,-1.2068519471770631,-6088.7268279249065,False,stop_gap,1,4,0.04341,0.10283,0.42215306817076725,0.979,40,0.08057720728712492,12,True
BA,2006-04-12,2006,0.0448919902572629,8.268403225937575,True,trail_ma,33,4,0.02311,0.06458,0.3578507277794983,0.868,54,0.12893515081645268,8,True
BABA,2017-03-21,2017,5.972726773581346,140225.20227575809,True,target,56,5,0.02947,0.07157,0.411764705882353,0.9058,68,0.09520571676233014,8,True
BALL,2004-09-08,2004,-1.037613045266159,-1082.3100081050056,False,stop,1,3,0.02687,0.07521,0.3572663209679564,0.8345,31,0.01883732318548037,6,True
BALL,2005-03-08,2005,-0.932952387556559,-1701.483550825974,False,trail_ma,14,4,0.03635,0.10939,0.33229728494377914,0.8218,39,0.01347650852555149,6,True
